Key1,Value1
Vision,"- Core: I believe reliability is a product's core feature
- Mission: My mission is to contribute to developing distributed systems from the perspective of reliability"
Career Goal,"- OSS: My career goal is to relocate to the US, get deeply involved in the OSS community, and contribute to the birth of new technologies
- Lead: I want to lead a team as a senior position and take more responsibility"
Introduction,"- Role: I’m a Software engineer with 7+ years of experience in site reliability and backend development
- Experience: I have designed and developed distributed systems and enterprise applications, ensuring high performance and scalability
- Skill: My professional skills are development with Go and management of Kubernetes Cluster
- Main: I’m working as a software engineer at Cybereason, a cybersecurity company in the US operating in 40 countries
- Responsibility: We develop new features and refactor legacy microservices for a core system operating across 12k+ servers and processing 80M+ events/sec
- Side Projects: I work on open-source projects, such as Kubernetes, Etcd, Raft, and ETL tool
- University: I’m enrolled part-time in the Master of Science in Computer Science program at the University of Colorado Boulder, studying online from Japan"
Past Job,"- University: I got a Bachelor of Engineering at the University of Tokyo
  - I received patients' data, created Python models, and wrote a paper to improve medical decisions
- 1st Job: I joined Gunosy, Japan's most prominent news app company with 40M users
  - I worked as a data engineer for 1.5 years to analyze large-scale user data and improved ad logic
- 2nd Job: I co-founded Industry Technology, which provides enterprise applications to Japan's largest real estate companies
  - As a CTO, I led the development team and wrote 100k lines of backend codes personally in 5.5 years
- Side Job: I worked as a software engineer for several AI startups"
Why searching a new position,"- Current Environment: I’m satisfied with my current work environment, so I’m not actively looking for a new position
- Passion: I have a strong desire to grow by being involved in large-scale products and taking on more responsibility, like a senior position
- Near Future: I’m planning to relocate to the US, so I’m looking for positions related to the US to get visa support in the future"
Why applied,"- Vision: The role aligns with my vision and career goal
- Experience: The requirements align with my experience
  - I learned backend development and leadership at Industry Technology
  - I learned site reliability engineering and teamwork at Cybereason"
Why SRE → SWE,"- Organization: We recently went through a significant organizational change, which included team reassignments
- Mission: Previously, my focus was mainly on incident response as an SRE, but now I’m primarily working on feature development and refactoring as a software engineer"
Why CU Boulder,"- Desire: I developed a desire to relearn computer science from the ground up, in particular AI fields
- CU Boulder: CU Boulder is flexible and has many modern AI courses"
Why Cybereason,- High-reliability Requirement: The system handles 80M events per second and operates with 12k servers
Why left CTO,"- Reason: We sold our business
- Next: I started to pursue a career as an individual contributor rather than as a business leader"
